City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
439,Gorontalo,ID,81.14,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
451,Coahuayana,MX,79.47,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
464,Port Lincoln,AU,76.42,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
472,San Andres,CO,82.42,light rain,12.5847,-81.7006,Hotel Arena Blanca
484,Colon,PA,76.55,light rain,9.3592,-79.9014,Sand Diamond Hotel
486,Itarema,BR,79.54,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
490,Iralaya,HN,76.86,moderate rain,15.0,-83.2333,Iglesia morava renovada
495,Negombo,LK,75.25,few clouds,7.2083,79.8358,Hotel Sunset Beach
499,Kirakira,SB,85.15,overcast clouds,-10.4544,161.9205,SanBiz Lodge
508,Tevaitoa,PF,81.52,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
509,Gladstone,AU,80.53,scattered clouds,-23.85,151.25,Highpoint International Hotel
510,Bitung,ID,79.65,overcast clouds,1.4451,125.1824,K2 Lembeh
512,Nicoya,CR,77.77,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
520,Jizan,SA,76.14,clear sky,17.3333,42.6667,شهدان. ابوالحجر
528,Quelimane,MZ,76.95,light rain,-17.8786,36.8883,Hotel Flamingo
554,Vanimo,PG,81.73,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
555,Bima,ID,79.92,broken clouds,-8.4667,118.7167,Lambitu Hotel
557,Manzanillo,CU,78.06,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
566,Acarau,BR,79.56,clear sky,-2.8856,-40.12,castelo pizzaria
568,Maryborough,AU,80.11,scattered clouds,-25.5333,152.7,Blue Shades Motel
569,La Orilla,MX,80.01,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
570,Neiafu,TO,86.68,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
573,Nata,PA,82.27,clear sky,8.3333,-80.5167,Rey David
579,Noumea,NC,82.38,light rain,-22.2763,166.4572,Hôtel Le Lagon
583,Kanniyakumari,IN,76.05,clear sky,8.0833,77.5667,Sparsa Kanyakumari
584,Bawku,GH,76.98,clear sky,11.0616,-0.2417,Ultimate Guest House
591,Hambantota,LK,75.02,broken clouds,6.1241,81.1185,Bungalow 63
593,Sosua,DO,76.91,scattered clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
597,Sola,VU,82.08,overcast clouds,-13.8833,167.55,Leumerus Bungalows
601,Sungairaya,ID,78.03,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
602,San Esteban,HN,83.3,broken clouds,15.2,-85.75,Hacienda El Higuerito
605,Ahuimanu,US,83.61,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
