City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Kongolo,CD,2022-12-19 01:08:27,-5.3833,27.0,67.32,98,100,2.28
182,Kodiak,US,2022-12-19 01:00:25,57.79,-152.4072,34.7,78,100,5.28
183,Severo-Kurilsk,RU,2022-12-19 01:03:26,50.6789,156.125,31.06,88,94,26.28
184,Hami,CN,2022-12-19 01:08:28,42.8,93.45,16.92,44,100,2.39
185,Novyy Oskol,RU,2022-12-19 01:09:28,50.7631,37.8691,26.53,82,100,14.79
186,San Quintin,MX,2022-12-19 01:09:29,30.4833,-115.95,59.16,74,0,7.72
187,Marsh Harbour,BS,2022-12-19 01:09:29,26.5412,-77.0636,74.05,79,92,22.15
188,Fairbanks,US,2022-12-19 00:59:39,64.8378,-147.7164,-29.9,76,11,2.53
189,San Patricio,US,2022-12-19 01:09:30,28.017,-97.5169,62.44,66,100,12.77
190,Chokurdakh,RU,2022-12-19 01:00:48,70.6333,147.9167,0.57,97,100,5.32
191,Dwarka,IN,2022-12-19 01:09:31,22.2394,68.9678,74.73,62,41,9.8
192,Bodden Town,KY,2022-12-19 01:09:31,19.2833,-81.25,77.94,81,20,5.75
193,Sorland,NO,2022-12-19 01:03:18,67.667,12.6934,33.66,85,100,44.56
194,Porto Novo,BJ,2022-12-19 01:09:32,6.4965,2.6036,77.9,83,6,4.05
195,Pundaguitan,PH,2022-12-19 01:09:33,6.3711,126.1689,80.13,79,100,10.42
196,Savonlinna,FI,2022-12-19 01:09:33,61.8699,28.88,32.05,100,100,8.05
197,Nuuk,GL,2022-12-19 01:07:46,64.1835,-51.7216,23.88,53,12,7.61
198,Khatanga,RU,2022-12-19 01:01:50,71.9667,102.5,-39.46,100,59,5.14
199,Areosa,PT,2022-12-19 01:09:34,41.7178,-8.8571,58.8,78,100,26.78
200,Berlevag,NO,2022-12-19 01:09:35,70.8578,29.0864,23.0,74,100,18.41
201,Divo,CI,2022-12-19 01:09:35,5.8397,-5.36,72.39,95,6,2.93
202,Sompeta,IN,2022-12-19 01:09:36,18.9333,84.6,65.39,61,67,5.75
203,Husavik,IS,2022-12-19 01:09:37,66.0449,-17.3389,21.36,83,100,24.23
204,Nioro,GM,2022-12-19 01:09:37,13.35,-15.75,75.69,15,100,6.53
205,Awassa,ET,2022-12-19 01:09:38,7.05,38.4667,56.46,67,92,5.28
206,Kosonsoy,UZ,2022-12-19 01:09:39,41.2561,71.5508,18.16,57,29,5.3
207,Cairns,AU,2022-12-19 01:07:48,-16.9167,145.7667,91.06,70,96,18.41
208,Tasiilaq,GL,2022-12-19 01:09:40,65.6145,-37.6368,10.56,49,0,5.79
209,Petropavlovsk-Kamchatskiy,RU,2022-12-19 01:09:40,53.0452,158.6483,21.79,68,75,15.66
210,Bonavista,CA,2022-12-19 01:09:40,48.6499,-53.1147,36.84,91,100,26.82
211,Lidzbark Warminski,PL,2022-12-19 01:09:41,54.1259,20.5795,13.89,92,29,8.19
212,Jinchang,CN,2022-12-19 01:09:41,38.4953,102.1739,20.16,38,100,0.56
213,Half Moon Bay,US,2022-12-19 01:09:42,37.4636,-122.4286,53.87,76,0,9.22
214,Kargat,RU,2022-12-19 01:09:42,55.1956,80.2811,6.48,95,100,7.05
215,Cap-Aux-Meules,CA,2022-12-19 01:05:08,47.3821,-61.8597,36.9,97,100,22.12
216,Tianpeng,CN,2022-12-19 01:09:43,30.9866,103.9393,37.76,62,6,2.91
217,Abha,SA,2022-12-19 01:09:44,18.2164,42.5053,44.85,57,0,0.0
218,Muisne,EC,2022-12-19 01:09:44,0.6,-80.0333,74.03,81,66,4.38
219,Gladstone,AU,2022-12-19 01:07:23,-23.85,151.25,78.73,50,75,19.57
220,Kutum,SD,2022-12-19 01:09:45,14.2,24.6667,59.38,39,4,6.89
221,Tual,ID,2022-12-19 01:09:45,-5.6667,132.75,80.74,81,100,8.55
222,Inuvik,CA,2022-12-19 01:09:46,68.3499,-133.7218,-36.11,100,87,2.59
223,Flinders,AU,2022-12-19 01:09:46,-34.5833,150.8552,70.18,53,37,11.01
224,Mont-De-Marsan,FR,2022-12-19 01:09:47,44.0,-0.6667,48.61,97,0,6.91
225,Jamestown,US,2022-12-19 00:58:44,42.097,-79.2353,26.55,92,100,18.41
226,Huarmey,PE,2022-12-19 01:09:48,-10.0681,-78.1522,69.91,81,70,7.05
227,Pacific Grove,US,2022-12-19 01:09:48,36.6177,-121.9166,54.55,81,0,7.0
228,Soc Trang,VN,2022-12-19 01:10:49,9.6033,105.98,71.1,78,27,10.18
