City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
232,Samarai,PG,-10.6167,150.6667,82.8,73,99,2.37,overcast clouds
233,Port-Gentil,GA,-0.7193,8.7815,76.96,94,20,3.44,few clouds
234,Waddan,LY,29.1614,16.139,51.98,56,32,9.37,scattered clouds
235,Honningsvag,NO,70.9821,25.9704,15.55,73,20,17.27,few clouds
236,Pozega,HR,45.3403,17.6853,40.77,92,83,3.22,broken clouds
237,Malanje,AO,-9.5402,16.341,63.45,98,100,2.21,light rain
238,Nizwa,OM,22.9333,57.5333,61.52,73,0,1.36,clear sky
239,Mpika,ZM,-11.8343,31.4529,60.6,98,100,2.82,light rain
240,Poum,NC,-20.2333,164.0167,83.25,83,100,30.33,moderate rain
241,Sept-Iles,CA,50.2001,-66.3821,19.92,69,75,16.11,broken clouds
242,Zhangjiakou,CN,40.81,114.8794,25.29,52,9,6.06,clear sky
243,Aloleng,PH,16.1307,119.7824,76.95,64,37,16.35,scattered clouds
244,Hellvik,NO,59.9156,5.781,45.0,92,100,11.54,overcast clouds
245,Gogrial,SS,8.5332,28.1004,69.8,26,9,5.59,clear sky
246,Ous,RU,60.9058,61.5186,-16.53,92,100,12.5,overcast clouds
247,Tocopilla,CL,-22.092,-70.1979,71.73,69,5,10.0,clear sky
248,Springbok,ZA,-29.6643,17.8865,68.7,28,0,6.6,clear sky
249,Sorong,ID,-0.8833,131.25,82.38,75,100,6.85,overcast clouds
250,Kapiri Mposhi,ZM,-13.9652,28.6809,61.48,97,100,3.11,overcast clouds
251,Imeni Poliny Osipenko,RU,52.4201,136.4853,-9.72,97,100,4.74,overcast clouds
252,Sal Rei,CV,16.1833,-22.9167,72.09,74,13,17.94,few clouds
253,Broome,US,42.2506,-75.833,35.6,83,100,14.97,overcast clouds
254,Constitucion,CL,-35.3333,-72.4167,61.02,85,3,6.62,clear sky
255,Prieska,ZA,-29.6641,22.7474,70.34,30,0,5.91,clear sky
256,Luderitz,NA,-26.6481,15.1594,68.07,56,1,5.06,clear sky
257,Hami,CN,42.8,93.45,22.5,50,3,1.79,clear sky
258,Bonfim,BR,3.0833,-59.95,81.36,68,78,5.75,moderate rain
259,Vardo,NO,70.3705,31.1107,15.78,92,8,12.66,clear sky
260,Redlands,US,34.0556,-117.1825,67.8,36,0,0.0,clear sky
261,Alghero,IT,40.5589,8.3181,59.09,82,75,9.22,broken clouds
262,Tuatapere,NZ,-46.1333,167.6833,70.18,41,3,5.99,clear sky
263,Arenal,CO,8.4593,-73.9433,79.39,77,65,2.95,broken clouds
264,Senneterre,CA,48.3835,-77.2328,-7.15,100,90,2.01,overcast clouds
265,Butzow,DE,53.85,11.9833,47.08,89,99,13.02,overcast clouds
266,Havre-Saint-Pierre,CA,50.2334,-63.5986,23.0,93,100,6.91,light snow
267,Dharchula,IN,29.85,80.5333,50.49,21,0,8.37,clear sky
268,Chingola,ZM,-12.529,27.8838,60.01,95,100,2.48,overcast clouds
269,Slave Lake,CA,55.2834,-114.769,17.58,79,75,2.3,broken clouds
270,Praya,CV,14.9215,-23.5087,72.14,78,75,19.57,broken clouds
271,Dwarka,IN,22.2394,68.9678,70.92,71,0,11.16,clear sky
272,Garowe,SO,8.4054,48.4845,68.65,77,3,10.58,clear sky
273,Hamilton,US,39.1834,-84.5333,38.71,72,0,8.05,clear sky
274,Lorengau,PG,-2.0226,147.2712,84.13,69,94,2.95,overcast clouds
275,Caravelas,BR,-17.7125,-39.2481,75.09,94,91,4.59,overcast clouds
276,Banepa,NP,27.6298,85.5214,39.52,75,20,3.44,few clouds
277,Pauini,BR,-7.7136,-66.9764,73.54,91,90,1.19,overcast clouds
278,New Norfolk,AU,-42.7826,147.0587,72.91,41,0,3.0,clear sky
279,Adrar,MR,20.5022,-10.0711,64.94,18,100,11.5,overcast clouds
280,Elban,RU,50.1018,136.5094,-12.62,98,100,4.54,overcast clouds
281,Sitka,US,57.0531,-135.33,48.09,61,100,21.85,moderate rain
282,Palmer,US,42.1584,-72.3287,39.24,73,0,9.22,clear sky
283,Hithadhoo,MV,-0.6,73.0833,79.81,80,77,10.09,broken clouds
284,Clinton,US,42.587,-82.9199,32.95,70,75,3.44,broken clouds
285,Olafsvik,IS,64.8945,-23.7142,34.5,77,100,29.15,overcast clouds
286,Kazanskaya,RU,45.4106,40.4361,17.15,53,97,8.57,overcast clouds
287,Demirci,TR,39.0461,28.6589,35.2,66,4,4.9,clear sky
288,Tautira,PF,-17.7333,-149.15,80.71,74,18,10.4,light rain
289,Aklavik,CA,68.2191,-135.0107,-5.8,77,40,0.0,scattered clouds
290,Togur,RU,58.3631,82.8265,22.17,95,100,9.1,overcast clouds
291,Mackay,AU,-21.15,149.2,88.68,68,84,9.6,broken clouds
292,Pecos,US,31.4229,-103.4932,61.86,25,0,11.5,clear sky
293,Coquimbo,CL,-29.9533,-71.3436,67.73,77,0,10.36,clear sky
294,Vagur,FO,61.4732,-6.8119,43.84,86,67,18.77,light rain
